wyId,shortName,firstName,middleName,lastName,birthDate,birthArea.id,birthArea.alpha2code,birthArea.alpha3code,birthArea.name,passportArea.id,passportArea.alpha2code,passportArea.alpha3code,passportArea.name
457079,Alberto Fuente,Alberto,,Fuente Martín,1986-10-11,724,ES,ESP,Spain,724,ES,ESP,Spain
390525,M. Leleu,Mickaël,,Leleu,1983-09-06,250,FR,FRA,France,250,FR,FRA,France
557187,J. Seidel,Jan,,Seidel,1984-10-10,276,DE,DEU,Germany,276,DE,DEU,Germany
379378,P. Ittrich,Patrick,,Ittrich,1979-01-03,276,DE,DEU,Germany,276,DE,DEU,Germany
395201,Luis Collado,Luis,,Collado López,1984-01-24,724,ES,ESP,Spain,724,ES,ESP,Spain
420845,Borja Martínez,Borja,,Martínez García,1993-09-16,724,ES,ESP,Spain,724,ES,ESP,Spain
378954,M. Thomsen,Martin,,Thomsen,1985-10-01,276,DE,DEU,Germany,276,DE,DEU,Germany
458270,M. Scarpa,Mattia,,Scarpa,,380,IT,ITA,Italy,380,IT,ITA,Italy
385481,O. Thual,Olivier,,Thual,1976-07-24,250,FR,FRA,France,250,FR,FRA,France
385546,R. Rohde,René,,Rohde,1980-09-10,276,DE,DEU,Germany,276,DE,DEU,Germany
385513,R. Lissorgue,Romain,,Lissorgue,1991-06-23,250,FR,FRA,France,250,FR,FRA,France
384938,T. Ongun,Tarik,,Ongun,1973-02-03,792,TR,TUR,Turkey,792,TR,TUR,Turkey
384952,F. Zwayer,Felix,,Zwayer,1981-05-19,276,DE,DEU,Germany,276,DE,DEU,Germany
388361,P. Alt,Patrick,,Alt,1985-02-24,276,DE,DEU,Germany,276,DE,DEU,Germany
385510,S. Frappart,Stéphanie,,Frappart,1983-12-14,250,FR,FRA,France,250,FR,FRA,France
386297,B. Bastien,Benoît,,Bastien,1983-04-17,250,FR,FRA,France,250,FR,FRA,France
377253,M. Irrati,Massimiliano,,Irrati,1979-06-27,380,IT,ITA,Italy,380,IT,ITA,Italy
384946,Antonio Mateu,Antonio Miguel,,Mateu Lahoz,1977-03-12,724,ES,ESP,Spain,724,ES,ESP,Spain
387273,F. Willenborg,Frank,,Willenborg,1979-02-10,276,DE,DEU,Germany,276,DE,DEU,Germany
385911,A. Marriner,Andre,,Marriner,1971-01-01,826,EN,XEN,England,826,EN,XEN,England
396785,N. Baroni,Niccolò,,Baroni,1983-05-06,380,IT,ITA,Italy,380,IT,ITA,Italy
377256,M. Di Bello,Marco,,Di Bello,1981-07-17,380,IT,ITA,Italy,380,IT,ITA,Italy
398916,Alfonso Baena,Alfonso,,Baena Espejo,,724,ES,ESP,Spain,724,ES,ESP,Spain
385473,Ignacio Iglesias,Ignacio,,Iglesias Villanueva,1975-06-01,724,ES,ESP,Spain,724,ES,ESP,Spain
398196,Mohamed Abdulla Hassan Mohd,Mohamed Abdulla,,Hassan Mohd,,784,AE,ARE,United Arab Emirates,784,AE,ARE,United Arab Emirates
395069,Juan Barranco,Juan Carlos,,Barranco Trejo,,724,ES,ESP,Spain,724,ES,ESP,Spain
395169,Miguel Ortiz,Miguel Ángel,,Ortiz Arias,1984-11-23,724,ES,ESP,Spain,724,ES,ESP,Spain
385548,S. Waschitzki,Sven,,Waschitzki,,276,DE,DEU,Germany,276,DE,DEU,Germany
420139,D. Rocca,Domenico,,Rocca,1984-02-25,380,IT,ITA,Italy,380,IT,ITA,Italy
377233,A. Damato,Antonio,,Damato,1972-08-15,380,IT,ITA,Italy,380,IT,ITA,Italy
380889,J. Pitti,Jhon,,Pitti,,591,PA,PAN,Panama,591,PA,PAN,Panama
398962,Rubén Ruipérez,Rubén,,Ruipérez Marín,1991-01-04,724,ES,ESP,Spain,724,ES,ESP,Spain
377261,F. La Penna,Federico,,La Penna,1983-08-07,380,IT,ITA,Italy,380,IT,ITA,Italy
384920,M. Jug,Matej,,Jug,1980-09-25,705,SI,SVN,Slovenia,705,SI,SVN,Slovenia
457142,J. Pitty,John Francis,,Pitty,,591,PA,PAN,Panama,591,PA,PAN,Panama
384943,S. Vinčić,Slavko,,Vinčić,1979-11-25,705,SI,SVN,Slovenia,705,SI,SVN,Slovenia
385910,R. West,Richard,,West,1975-02-25,826,EN,XEN,England,826,EN,XEN,England
383493,C. Gittelmann,Christian,,Gittelmann,1983-02-12,276,DE,DEU,Germany,276,DE,DEU,Germany
420893,Mohamed Massat,Mohamed,,Massat,1994-01-30,724,ES,ESP,Spain,724,ES,ESP,Spain
385501,M. Grosbost,Mathieu,,Grosbost,1978-02-19,250,FR,FRA,France,250,FR,FRA,France
384917,W. Collum,William,,Collum,1979-01-18,1002,SC,XSC,Scotland,1002,SC,XSC,Scotland
395195,Miguel Bosch,Miguel,,Bosch Domenech,1980-12-23,724,ES,ESP,Spain,724,ES,ESP,Spain
383355,L. Koslowski,Lasse,,Koslowski,,276,DE,DEU,Germany,276,DE,DEU,Germany
395217,Iosu Galech,Iosu,,Galech Apezteguía,1990-12-12,724,ES,ESP,Spain,724,ES,ESP,Spain
381832,José Fernández,José Manuel,,Fernández Miranda,1976-03-12,724,ES,ESP,Spain,724,ES,ESP,Spain
395178,Francisco Fernández,Francisco Javier,,Fernández Vidal,1985-05-12,724,ES,ESP,Spain,724,ES,ESP,Spain
379388,Carlos Del Cerro,Carlos,,Del Cerro Grande,1976-03-13,724,ES,ESP,Spain,724,ES,ESP,Spain
395326,Francisco Miralles,Francisco,,Miralles Selma,1987-01-24,724,ES,ESP,Spain,724,ES,ESP,Spain
384962,Pau Cebrián,Pau,,Cebrián Devis,,724,ES,ESP,Spain,724,ES,ESP,Spain
385919,M. Scholes,Mark,,Scholes,,826,EN,XEN,England,826,EN,XEN,England
378232,A. Cunha,Andrés,,Cunha,1976-09-08,858,UY,URY,Uruguay,858,UY,URY,Uruguay
384376,M. Klasenius,Mathias,,Klasenius,1975-04-25,752,SE,SWE,Sweden,752,SE,SWE,Sweden
381828,A. Averianov,Anton,,Averianov,1973-01-31,643,RU,RUS,Russia,643,RU,RUS,Russia
384982,S. Karasev,Sergey,,Karasev,1979-06-12,643,RU,RUS,Russia,643,RU,RUS,Russia
385523,F. Benchabane,Faouzi,,Benchabane,1989-08-24,250,FR,FRA,France,250,FR,FRA,France
381843,F. Schneider,Frank,,Schneider,1979-05-11,250,FR,FRA,France,250,FR,FRA,France
377246,F. Pasqua,Fabrizio,,Pasqua,1982-11-07,380,IT,ITA,Italy,380,IT,ITA,Italy
395083,Iván González,Iván,,González González,1981-09-01,724,ES,ESP,Spain,724,ES,ESP,Spain
395104,Leandro Carbajales,Leandro,,Carbajales Gómez,1991-06-16,724,ES,ESP,Spain,724,ES,ESP,Spain
385705,P. Tierney,Paul,,Tierney,,826,EN,XEN,England,826,EN,XEN,England
456269,N. Hauata,Norbert,,Hauata,1979-06-08,1012,TA,XTA,Tahiti,1012,TA,XTA,Tahiti
377269,I. Pezzuto,Ivano,,Pezzuto,1984-02-13,380,IT,ITA,Italy,380,IT,ITA,Italy
379461,A. Giallatini,Alessandro,,Giallatini,,380,IT,ITA,Italy,380,IT,ITA,Italy
377215,B. Kuipers,Björn,,Kuipers,1973-03-28,528,NL,NLD,Netherlands,528,NL,NLD,Netherlands
383886,S. Lupp,Stefan,,Lupp,1978-09-09,276,DE,DEU,Germany,276,DE,DEU,Germany
518502,D. Imperiale,Davide,,Imperiale,,380,IT,ITA,Italy,380,IT,ITA,Italy
378977,H. Zakrani,Hicham,,Zakrani,1979-09-04,250,FR,FRA,France,250,FR,FRA,France
381933,M. Zürcher,Marco ,,Zürcher ,,756,CH,CHE,Switzerland,756,CH,CHE,Switzerland
395085,José Sánchez,José María,,Sánchez Martínez,1983-10-03,724,ES,ESP,Spain,724,ES,ESP,Spain
384980,M. Ristić,Milovan,,Ristić,1974-05-01,688,RS,SRB,Serbia,688,RS,SRB,Serbia
379019,Teodoro Sobrino,Teodoro,,Sobrino Magán,,724,ES,ESP,Spain,724,ES,ESP,Spain
377209,N. Rizzoli,Nicola,,Rizzoli,1971-10-05,380,IT,ITA,Italy,380,IT,ITA,Italy
393623,G. Colella,Giovanni,,Colella,,380,IT,ITA,Italy,380,IT,ITA,Italy
395408,Álvaro Varón,Álvaro,,Varón Aceitón,1993-10-30,724,ES,ESP,Spain,724,ES,ESP,Spain
395331,Alexander González,Alexander,,González González,1988-12-09,724,ES,ESP,Spain,724,ES,ESP,Spain
395267,César Díez,César,,Díez Cano,1985-05-02,724,ES,ESP,Spain,724,ES,ESP,Spain
395099,Alexis Pulido,Alexis Carlos,,Pulido Santana,1986-07-08,724,ES,ESP,Spain,724,ES,ESP,Spain
395351,Josep Subirats,Josep,,Subirats Matamoros,1986-02-28,724,ES,ESP,Spain,724,ES,ESP,Spain
395402,Rafael Sánchez,Rafael,,Sánchez López,1991-01-29,724,ES,ESP,Spain,724,ES,ESP,Spain
396648,P. Dei Giudici,Pietro,,Dei Giudici,1980-09-27,380,IT,ITA,Italy,380,IT,ITA,Italy
384995,C. Çakιr,Cüneyt,,Çakιr,1976-11-23,792,TR,TUR,Turkey,792,TR,TUR,Turkey
384973,D. Aytekin,Deniz,,Aytekin,1978-07-21,276,DE,DEU,Germany,276,DE,DEU,Germany
388405,G. Vuoto,Gianluca,,Vuoto,,380,IT,ITA,Italy,380,IT,ITA,Italy
396657,L. Mondin,Luca,,Mondin,,380,IT,ITA,Italy,380,IT,ITA,Italy
505545,P. Capaldo,Pasquale,,Capaldo,,380,IT,ITA,Italy,380,IT,ITA,Italy
386719,T. Robinson,Tim,,Robinson,,826,EN,XEN,England,826,EN,XEN,England
388415,A. Tegoni,Alberto,,Tegoni,1979-12-25,380,IT,ITA,Italy,380,IT,ITA,Italy
385814,M. Emmer,Michael,,Emmer,1971-02-22,276,DE,DEU,Germany,276,DE,DEU,Germany
385791,H. Ocak,Huseyin,,Ocak,1981-05-16,250,FR,FRA,France,250,FR,FRA,France
379444,S. Stegemann,Sascha,,Stegemann,1984-12-06,276,DE,DEU,Germany,276,DE,DEU,Germany
479882,Adrián Martínez,Adrián,,Martínez Miguel,,724,ES,ESP,Spain,724,ES,ESP,Spain
377271,R. Abisso,Rosario,,Abisso,1985-11-22,380,IT,ITA,Italy,380,IT,ITA,Italy
381858,B. Brand,Benjamin,,Brand,1989-07-10,276,DE,DEU,Germany,276,DE,DEU,Germany
387276,S. Jablonski,Sven,,Jablonski,1990-04-13,276,DE,DEU,Germany,276,DE,DEU,Germany
420591,José Pardeiro,José Alberto,,Pardeiro Puente,1988-07-21,724,ES,ESP,Spain,724,ES,ESP,Spain
385712,P. Bankes,Peter,,Bankes,,826,EN,XEN,England,826,EN,XEN,England
393624,A. Rapuano,Antonio,,Rapuano,1985-04-10,380,IT,ITA,Italy,380,IT,ITA,Italy
531809,Inmaculada Prieto Martínez,Inmaculada,,Prieto Martínez,1993-04-19,724,ES,ESP,Spain,724,ES,ESP,Spain
383336,B. Cortus,Benjamin,,Cortus,1981-12-13,276,DE,DEU,Germany,276,DE,DEU,Germany
378994,Juan Martínez,Juan,,Martínez Munuera,1982-07-13,724,ES,ESP,Spain,724,ES,ESP,Spain
383902,S. Storks,Sören,,Storks,,276,DE,DEU,Germany,276,DE,DEU,Germany
395105,Fernando Tresaco,Fernando,,Tresaco Escabosa,,724,ES,ESP,Spain,724,ES,ESP,Spain
377244,D. Doveri,Daniele,,Doveri,1977-12-10,380,IT,ITA,Italy,380,IT,ITA,Italy
407901,B. Gassama,Bakary Papa,,Gassama,1979-02-10,270,GM,GMB,Gambia,270,GM,GMB,Gambia
381854,Santiago Jaime,Santiago,,Jaime Latre,1979-08-11,724,ES,ESP,Spain,724,ES,ESP,Spain
395443,José Martínez,José David,,Martínez Montalbán,1993-11-04,724,ES,ESP,Spain,724,ES,ESP,Spain
381894,Ángel Nevado,Ángel,,Nevado Rodríguez,,724,ES,ESP,Spain,724,ES,ESP,Spain
385482,Y. Rouinsard,Yohann,,Rouinsard,1975-04-10,250,FR,FRA,France,250,FR,FRA,France
411256,Waleed Ahmed Ali,Waleed,,Ahmed Ali,,729,SD,SDN,Sudan,729,SD,SDN,Sudan
385789,T. Philippe,Tugdual,,Philippe,1974-06-10,250,FR,FRA,France,250,FR,FRA,France
384931,C. Turpin,Clément,,Turpin,1982-05-16,250,FR,FRA,France,250,FR,FRA,France
388333,R. East,Roger,,East,1965-05-12,826,EN,XEN,England,826,EN,XEN,England
381857,D. Schaal,Dominik,,Schaal,1985-07-25,276,DE,DEU,Germany,276,DE,DEU,Germany
395096,Fernando Bueno,Fernando,,Bueno Prieto,1988-10-03,724,ES,ESP,Spain,724,ES,ESP,Spain
396788,L. Pillitteri,Luigi,,Pillitteri,1985-02-27,380,IT,ITA,Italy,380,IT,ITA,Italy
411262,Ghead Grisha,Ghead,,Grisha,1976-02-29,818,EG,EGY,Egypt,818,EG,EGY,Egypt
384804,O. Hațegan,Ovidiu,,Hațegan,1980-07-14,642,RO,ROU,Romania,642,RO,ROU,Romania
385537,B. Lepaysant,Benjamin,,Lepaysant,,250,FR,FRA,France,250,FR,FRA,France
385915,N. Swarbrick,Neil,,Swarbrick,1970-07-27,826,EN,XEN,England,826,EN,XEN,England
385534,J. Stinat,Jeremy,,Stinat,,250,FR,FRA,France,250,FR,FRA,France
399066,P. De Meo,Pasquale,,De Meo,1982-06-15,380,IT,ITA,Italy,380,IT,ITA,Italy
385520,A. Kherradji,Abdelatif,,Kherradji,,250,FR,FRA,France,250,FR,FRA,France
395226,Iván Muñoz,Iván,,Muñoz Pérez,1981-11-20,724,ES,ESP,Spain,724,ES,ESP,Spain
388410,S. Longo,Salvatore,,Longo,,380,IT,ITA,Italy,380,IT,ITA,Italy
381849,M. Achmüller,Marco,,Achmüller,1979-10-17,276,DE,DEU,Germany,276,DE,DEU,Germany
378051,N. Pitana,Néstor Fabián,,Pitana,1975-06-17,32,AR,ARG,Argentina,32,AR,ARG,Argentina
380580,A. Rasulov,Abdukhamidullo,,Rasulov,1976-01-10,860,UZ,UZB,Uzbekistan,860,UZ,UZB,Uzbekistan
459836,José Guzmán,José Luis,,Guzmán Mansilla,1995-11-02,724,ES,ESP,Spain,724,ES,ESP,Spain
393630,O. Muto,Oreste,,Muto,,380,IT,ITA,Italy,380,IT,ITA,Italy
379464,M. Vivenzi,Mauro,,Vivenzi,,380,IT,ITA,Italy,380,IT,ITA,Italy
385527,A. Petit,Aurélien,,Petit,1987-07-17,250,FR,FRA,France,250,FR,FRA,France
383491,C. Dingert,Christian,,Dingert,1980-07-14,276,DE,DEU,Germany,276,DE,DEU,Germany
395166,Hugo López,Hugo José,,López Puerta,1978-05-16,724,ES,ESP,Spain,724,ES,ESP,Spain
456216,S. Massey,Sian,,Massey,1985-10-22,826,EN,XEN,England,826,EN,XEN,England
384889,D. Cann,Darren,,Cann,1969-01-22,826,EN,XEN,England,826,EN,XEN,England
378038,H. Maidana,Hernán,,Maidana,1972-02-14,32,AR,ARG,Argentina,32,AR,ARG,Argentina
378231,N. Taran,Nicolás,,Taran,1980-08-27,858,UY,URY,Uruguay,858,UY,URY,Uruguay
384970,L. Manganelli,Lorenzo,,Manganelli,,380,IT,ITA,Italy,380,IT,ITA,Italy
377219,P. Valeri,Paolo,,Valeri,1974-05-16,380,IT,ITA,Italy,380,IT,ITA,Italy
385923,E. Smart,Edward,,Smart,,826,EN,XEN,England,826,EN,XEN,England
378060,J. Belatti,Juan Pablo,,Belatti,1979-04-15,32,AR,ARG,Argentina,32,AR,ARG,Argentina
377267,D. Chiffi,Daniele,,Chiffi,1984-12-14,380,IT,ITA,Italy,380,IT,ITA,Italy
378218,C. de la Cruz,Cristian,,de la Cruz,,170,CO,COL,Colombia,170,CO,COL,Colombia
395076,Ramón Arias,Ramón,,Arias Madrid,1978-04-09,724,ES,ESP,Spain,724,ES,ESP,Spain
384923,Alberto Undiano,Alberto,,Undiano Mallenco,1973-10-08,724,ES,ESP,Spain,724,ES,ESP,Spain
395077,Sergio Usón,Sergio,,Usón Rosel,1983-12-26,724,ES,ESP,Spain,724,ES,ESP,Spain
385916,M. Jones,Mike,,Jones,1968-04-18,826,EN,XEN,England,826,EN,XEN,England
384975,G. Dobosz,Giulio,,Dobosz,,380,IT,ITA,Italy,380,IT,ITA,Italy
384954,A. Gautier,Antony,,Gautier,1977-11-19,250,FR,FRA,France,250,FR,FRA,France
395458,Juan Marmolejo,Juan José,,Marmolejo Martínez,,724,ES,ESP,Spain,724,ES,ESP,Spain
393613,M. Zappatore,Marco,,Zappatore,,380,IT,ITA,Italy,380,IT,ITA,Italy
388360,M. Pelgrim,Marcel,,Pelgrim,,276,DE,DEU,Germany,276,DE,DEU,Germany
379347,Juan Yuste,Juan Carlos,,Yuste Jiménez,1975-09-25,724,ES,ESP,Spain,724,ES,ESP,Spain
384806,A. Tudor,Alexandru Dan,,Tudor,1971-09-13,642,RO,ROU,Romania,642,RO,ROU,Romania
395302,Jerónimo Montes,Jerónimo,,Montes García Navas,1990-07-29,724,ES,ESP,Spain,724,ES,ESP,Spain
407503,R. Achik,Redouane,,Achik,1972-04-21,504,MA,MAR,Morocco,504,MA,MAR,Morocco
396643,M. Citro,Marco,,Citro,,380,IT,ITA,Italy,380,IT,ITA,Italy
395234,Álvaro López,Álvaro,,López Parra,1987-03-12,724,ES,ESP,Spain,724,ES,ESP,Spain
395091,José Naranjo,José Enrique,,Naranjo Pérez,,724,ES,ESP,Spain,724,ES,ESP,Spain
379890,C. Rockwell,Corey,,Rockwell,1974-02-26,840,US,USA,United States,840,US,USA,United States
384974,M. Tonolini,Mauro,,Tonolini,,380,IT,ITA,Italy,380,IT,ITA,Italy
384808,O. Șovre,Octavian,,Șovre,1973-07-19,642,RO,ROU,Romania,642,RO,ROU,Romania
379380,L. Stien,Laurent,,Stien,1973-11-17,250,FR,FRA,France,250,FR,FRA,France
385003,R. Vukan,Robert,,Vukan,,705,SI,SVN,Slovenia,705,SI,SVN,Slovenia
385469,S. Thielert,Sascha,,Thielert,1980-01-25,276,DE,DEU,Germany,276,DE,DEU,Germany
377264,G. Calvarese,Giampaolo,,Calvarese,1976-02-20,380,IT,ITA,Italy,380,IT,ITA,Italy
378113,P. González,Pablo,,González,,32,AR,ARG,Argentina,32,AR,ARG,Argentina
393636,S. Liberti,Stefano,,Liberti,,380,IT,ITA,Italy,380,IT,ITA,Italy
385909,M. Dean,Mike,,Dean,1968-06-02,826,EN,XEN,England,826,EN,XEN,England
384890,P. Kirkup,Peter James,,Kirkup,1970-08-22,826,EN,XEN,England,826,EN,XEN,England
385486,W. Lavis,William,,Lavis,1973-08-21,250,FR,FRA,France,250,FR,FRA,France
395092,Sergio Pérez,Sergio,,Pérez Muley,1983-06-15,724,ES,ESP,Spain,724,ES,ESP,Spain
378948,B. Millot,Benoît,,Millot,1982-01-10,250,FR,FRA,France,250,FR,FRA,France
407514,E. Samba,El Hadji Malick,,Samba,,686,SN,SEN,Senegal,686,SN,SEN,Senegal
395379,Albert Catalá,Albert,,Catalá Ferrán,1989-03-19,724,ES,ESP,Spain,724,ES,ESP,Spain
420559,Miguel García,Miguel,,García Aceña,1985-04-04,724,ES,ESP,Spain,724,ES,ESP,Spain
396780,M. Piccinini,Marco,,Piccinini,1983-09-29,380,IT,ITA,Italy,380,IT,ITA,Italy
385515,C. Dos Santos,Cédric,,Dos Santos,,250,FR,FRA,France,250,FR,FRA,France
385484,S. Jochem,Stéphane,,Jochem,1978-09-16,250,FR,FRA,France,250,FR,FRA,France
386732,M. Wilkes,Matthew,,Wilkes,,826,EN,XEN,England,826,EN,XEN,England
407519,Z. Siwela,Zakhele Thusi,,Siwela,,710,ZA,ZAF,South Africa,710,ZA,ZAF,South Africa
398923,Pablo González,Pablo,,González Fuertes,1980-06-08,724,ES,ESP,Spain,724,ES,ESP,Spain
384932,M. Mažić,Milorad,,Mažić,1973-03-23,688,RS,SRB,Serbia,688,RS,SRB,Serbia
384409,D. Wärnmark,Daniel,,Wärnmark,1974-12-30,752,SE,SWE,Sweden,752,SE,SWE,Sweden
398936,Rubén Becerril,Rubén,,Becerril Gómez,,724,ES,ESP,Spain,724,ES,ESP,Spain
383338,C. Dietz,Christian,,Dietz,1984-07-27,276,DE,DEU,Germany,276,DE,DEU,Germany
395101,Javier Martínez,Javier,,Martínez Nicolás,,724,ES,ESP,Spain,724,ES,ESP,Spain
394731,L. Rossi,Luigi,,Rossi,1982-07-27,380,IT,ITA,Italy,380,IT,ITA,Italy
378950,Alejandro Hernández,Alejandro José,,Hernández Hernández,1982-11-10,724,ES,ESP,Spain,724,ES,ESP,Spain
420679,Daniel Yuste,Daniel,,Yuste Querol,1986-05-30,724,ES,ESP,Spain,724,ES,ESP,Spain
411261,J. Birumushahu,Jean-Claude,,Birumushahu,1972-02-13,108,BI,BDI,Burundi,108,BI,BDI,Burundi
381475,J. Aguilar,Joel,,Aguilar,,558,NI,NIC,Nicaragua,558,NI,NIC,Nicaragua
379058,J. Brooks,John,,Brooks,,826,EN,XEN,England,826,EN,XEN,England
381936,C. Hatzidakis,Constantine,,Hatzidakis,,826,EN,XEN,England,826,EN,XEN,England
460924,Iván Pablo,Iván,,Pablo Gómez,,724,ES,ESP,Spain,724,ES,ESP,Spain
379587,S. Schärer,Sandro,,Schärer,1988-06-06,756,CH,CHE,Switzerland,756,CH,CHE,Switzerland
393462,M. Vernice,Mathieu,,Vernice,,250,FR,FRA,France,250,FR,FRA,France
377231,L. Banti,Luca,,Banti,1974-03-27,380,IT,ITA,Italy,380,IT,ITA,Italy
377242,L. Nasca,Luigi,,Nasca,1977-11-15,380,IT,ITA,Italy,380,IT,ITA,Italy
384963,Miguel Martínez,Miguel,,Martínez Munuera,,724,ES,ESP,Spain,724,ES,ESP,Spain
395221,Carlos Carbonell,Carlos Alberto,,Carbonell Hernández,1984-08-03,724,ES,ESP,Spain,724,ES,ESP,Spain
457041,M. Roeleveld,Marcel,,Roeleveld,,528,NL,NLD,Netherlands,528,NL,NLD,Netherlands
384933,H. Göçek,Hüseyin,,Göçek,1976-11-30,792,TR,TUR,Turkey,792,TR,TUR,Turkey
420812,Víctor García,Víctor,,García Verdura,1994-10-12,724,ES,ESP,Spain,724,ES,ESP,Spain
398935,César Noval,César Manuel,,Noval Font,,724,ES,ESP,Spain,724,ES,ESP,Spain
393614,L. Illuzzi,Lorenzo,,Illuzzi,1983-06-21,380,IT,ITA,Italy,380,IT,ITA,Italy
